scorer,,,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul
bodyparts,,,leftEar,leftEar,rightEar,rightEar,implant,implant,leftPort,leftPort,rightPort,rightPort,centrePort,centrePort
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,PMA37 2021_11_26_10_38_43 Cam1,img0257577.png,443.8504160510148,393.0251574772533,339.91542888249467,381.4768255696399,379.80966638152256,456.0160587915079,527.8382844700209,487.5115094486352,226.5318065168364,483.3121160276849,381.90936309199776,491.7109028695855
labeled-data,PMA37 2021_11_26_10_38_43 Cam1,img0402635.png,,,,,,,,,,,,
labeled-data,PMA37 2021_11_26_10_38_43 Cam1,img0481101.png,,,,,,,,,,,,
labeled-data,PMA37 2021_11_26_10_38_43 Cam1,img0585444.png,,,,,,,,,,,,
labeled-data,PMA37 2021_11_26_10_38_43 Cam1,img0648675.png,,,,,,,,,,,,
labeled-data,PMA37 2021_11_26_10_38_43 Cam1,img0676933.png,,,,,,,,,,,,
labeled-data,PMA37 2021_11_26_10_38_43 Cam1,img0714153.png,,,,,,,,,,,,
labeled-data,PMA37 2021_11_26_10_38_43 Cam1,img0735913.png,,,,,,,,,,,,
labeled-data,PMA37 2021_11_26_10_38_43 Cam1,img1168826.png,,,,,,,,,,,,
labeled-data,PMA37 2021_11_26_10_38_43 Cam1,img1239048.png,,,,,,,,,,,,
labeled-data,PMA37 2021_11_26_10_38_43 Cam1,img1434980.png,,,,,,,,,,,,
labeled-data,PMA37 2021_11_26_10_38_43 Cam1,img1469465.png,,,,,,,,,,,,
labeled-data,PMA37 2021_11_26_10_38_43 Cam1,img1513842.png,,,,,,,,,,,,
labeled-data,PMA37 2021_11_26_10_38_43 Cam1,img2391958.png,,,,,,,,,,,,
labeled-data,PMA37 2021_11_26_10_38_43 Cam1,img2399916.png,,,,,,,,,,,,
labeled-data,PMA37 2021_11_26_10_38_43 Cam1,img2428773.png,,,,,,,,,,,,
labeled-data,PMA37 2021_11_26_10_38_43 Cam1,img2690056.png,,,,,,,,,,,,
labeled-data,PMA37 2021_11_26_10_38_43 Cam1,img2987578.png,,,,,,,,,,,,
labeled-data,PMA37 2021_11_26_10_38_43 Cam1,img3132360.png,,,,,,,,,,,,
labeled-data,PMA37 2021_11_26_10_38_43 Cam1,img3381678.png,,,,,,,,,,,,
